id,title,type,isGenesis,buildCostMaterial,buildCostData,vpValue,activationEffectDescription,convergenceEffectDescription,C_IN,C_OUT,T_IN,T_OUT,K_IN,K_OUT,R_IN,R_OUT
NODE_RES_002,Automated Drill Site,RESOURCE,,2,1,1,Owner gains 1 Material. If Owner pays 1 Energy: Owner draws 1 card.,Activator gains 1 Material.,No,No,Yes,No,Yes,No,Yes,Yes
NODE_RES_003,Monument Construction Site,RESOURCE,,5,0,2,Owner gains 1 Material. If 2+ Culture nodes activated this chain: Owner gains 1 VP.,Activator gains 1 VP. Owner gains 1 Material.,No,Yes,Yes,No,Yes,No,Yes,Yes
NODE_RES_004,Reclamation Art Project,RESOURCE,,2,1,1,Owner gains 1 Material. If adjacent to 1+ Culture nodes: Owner draws 1 card.,Activator gains 1 VP. Owner gains 1 Material.,Yes,Yes,No,No,No,No,Yes,Yes
NODE_RES_005,Materials Science R&D,RESOURCE,,3,1,1,Owner gains 1 Data. If adjacent to 1+ Technology nodes: Owner gains 1 VP.,Activator gains 1 Data. Owner gains 1 Material.,No,No,Yes,Yes,No,No,Yes,Yes
NODE_RES_006,Geological Survey Outpost,RESOURCE,,3,2,1,Owner gains 1 Data. If adjacent to 1+ Knowledge nodes: Owner gains 1 Data.,Activator gains 1 Data. Owner gains 1 VP.,No,No,No,No,Yes,Yes,Yes,Yes
NODE_RES_007,Solar Collector Array,RESOURCE,,4,1,0,Owner gains 1 Energy. If adjacent to 2+ empty cell(s): Owner gains 1 Energy.,Owner gains 1 Material.,No,No,Yes,No,No,No,Yes,Yes
NODE_RES_008,Asteroid Mining Claim,RESOURCE,,1,0,0,Owner gains 1 Material. If adjacent to 1+ Resource nodes: Owner gains 1 Material.,If Activator pays 1 Energy: Activator gains 2 Material.,No,No,Yes,No,No,No,No,Yes
NODE_RES_009,Hydroponics Bay,RESOURCE,,2,1,0,Owner gains 1 Material. If adjacent to 1+ Culture nodes: Owner gains 1 VP.,Owner gains 1 Material.,No,No,No,Yes,No,No,Yes,No
NODE_RES_010,Automated Refinery,RESOURCE,,1,1,0,Owner gains 1 Material. If Owner pays 1 Energy: Owner gains 2 Material.,Activator gains 1 Material. Owner gains 1 Material.,No,No,No,No,No,No,Yes,Yes
NODE_RES_011,Prospector Drone Control,RESOURCE,,1,1,0,Owner gains 1 Material. If adjacent to 1+ Knowledge nodes: Owner draws 1 card.,If Activator pays 1 Data: Activator draws 1 card.,No,No,No,No,Yes,No,No,Yes
NODE_RES_012,Bio-Printer Feedstock,RESOURCE,,2,1,0,Owner gains 1 Material. If adjacent to 1+ Technology nodes: Owner gains 1 Data.,Activator gains 1 Material. If adjacent to 1+ Technology nodes: Owner gains 1 Data.,No,Yes,Yes,No,No,No,Yes,No
NODE_RES_013,Resource Distribution Hub,RESOURCE,,2,1,0,Owner gains 1 Material. If 1+ links attached: Owner gains 1 Energy.,Activator gains 1 Material.,Yes,No,No,No,No,Yes,No,Yes
NODE_TECH_001,Basic Processing Unit,TECHNOLOGY,,4,0,0,Owner gains 1 Data. If 2+ nodes activated this chain: Owner gains 1 Energy.,Activator gains 1 Data.,No,No,Yes,Yes,No,No,Yes,No
NODE_TECH_002,Advanced Processing Unit,TECHNOLOGY,,3,1,1,Owner gains 1 Data. If Owner pays 1 Energy: Owner gains 2 Data.,Owner and activator gain 1 Data.,No,No,Yes,Yes,No,Yes,No,No
NODE_TECH_003,Applied Arts Workshop,TECHNOLOGY,,2,1,1,Owner gains 1 Material. If 2+ inputs connected: Owner gains 1 Data per Culture node in their network.,Activator gains 1 Data. Owner gains 1 Material.,Yes,Yes,No,Yes,No,Yes,Yes,No
NODE_TECH_004,Automated Fabricator,TECHNOLOGY,,3,1,1,Owner gains 1 Material. If adjacent to 2+ empty cell(s): Owner gains 2 Material.,Activator gains 1 Material. If 2+ links attached: Owner gains 1 Energy.,No,No,Yes,Yes,Yes,No,Yes,Yes
NODE_TECH_005,Geothermal Tap,TECHNOLOGY,,2,1,1,Owner gains 1 Energy. If adjacent to 1+ Resource nodes: Owner gains 1 Energy per Resource node in their network.,Activator gains 1 Energy. If 3+ nodes activated this chain: Owner gains 1 VP.,No,No,Yes,No,No,No,Yes,Yes
NODE_TECH_006,Digital Art Synthesizer,TECHNOLOGY,,1,2,0,Owner draws 1 card. If adjacent to 1+ Culture nodes: Owner gains 1 VP.,If 1+ Culture nodes activated this chain: Activator draws 2 cards. If 0+ Culture nodes activated this chain: Activator draws 1 card.,Yes,Yes,Yes,Yes,No,No,No,No
NODE_TECH_007,Quantum Simulation Lab,TECHNOLOGY,,1,1,1,If Owner pays 2 Data: Owner draws 2 cards.,Activator gains 1 Data. If 1+ inputs connected: Owner gains 1 VP.,No,No,Yes,Yes,Yes,Yes,No,No
NODE_TECH_008,Fusion Reactor Prototype,TECHNOLOGY,,2,2,2,Owner gains 2 Energy. If adjacent to 2+ Technology nodes: Owner gains 1 Energy per Technology node in their network.,Activator gains 1 Energy. If Activator pays 1 Energy: Owner and Activator gain 1 VP.,No,No,Yes,Yes,No,No,Yes,Yes
NODE_TECH_009,Network Hub,TECHNOLOGY,,2,2,1,If 1+ inputs connected: Owner gains 1 Data. If 3+ inputs connected: Owner gains 2 VP.,Activator gains 1 Data. If 1+ links attached: Activator gains 1 Data.,Yes,No,Yes,Yes,Yes,No,Yes,No
NODE_TECH_010,Sabotage Drone Bay,TECHNOLOGY,,1,1,0,If Owner pays 1 Energy: Owner steals 1 Material from each owner of nodes activated this chain.,Activator gains 1 Data. Activator steals 1 Energy from the owner. If 1+ links attached: Owner discards 1 card.,No,No,Yes,Yes,No,No,No,Yes
NODE_TECH_011,Orbital Comm Relay,TECHNOLOGY,,1,1,0,Owner gains 1 Data. If adjacent to 1+ Technology nodes: Owner gains 1 Data per Technology node in their network.,Activator gains 1 Data. If 3+ nodes activated this chain: Activator draws 1 card.,No,Yes,Yes,No,No,No,No,No
NODE_TECH_012,High-Frequency Trading Hub,TECHNOLOGY,,1,1,0,Owner gains 1 Data. If Owner pays 2 Data: Activator discards 1 card.,Activator gains 1 Data. If Activator pays 1 Data: Owner discards 1 card.,No,No,Yes,Yes,No,No,No,No
NODE_TECH_013,Planetary Defense Sensor,TECHNOLOGY,,1,1,0,Owner gains 1 Data. If adjacent to 3+ empty cell(s): Owner gains 1 VP.,If Activator pays 1 Data: Activator steals 1 Data from the owner.,No,No,Yes,No,No,Yes,No,No
NODE_TECH_014,Tunnel Bore Control,TECHNOLOGY,,2,1,0,Owner gains 1 Material. If adjacent to 2+ empty cell(s): Owner gains 2 Material.,Activator gains 1 Material. If 1+ Resource nodes activated this chain: Activator gains 1 Material.,Yes,No,No,Yes,No,No,No,No
NODE_TECH_015,Predictive Algorithm,TECHNOLOGY,,1,2,1,Owner gains 1 Data. If Owner pays 1 Data: Owner draws 2 cards.,Activator gains 1 Data. If 4+ nodes activated this chain: Owner and Activator gain 1 VP.,No,No,Yes,Yes,No,Yes,No,No
NODE_TECH_016,Automated Assembly Line,TECHNOLOGY,,2,1,0,Owner gains 1 Material. If 1+ Technology nodes activated this chain: Owner gains 2 Material.,Activator gains 1 Material. If 2+ links attached: Owner gains 2 Material.,No,No,Yes,Yes,No,No,No,Yes
NODE_TECH_017,Resource Scanner Drone,TECHNOLOGY,,1,1,0,If Owner pays 1 Data: Owner gains 1 Material per Resource node in their network.,Activator gains 1 Data. If adjacent to 1+ Resource nodes: Activator gains 1 Material per Resource node in the owner's network.,No,No,Yes,No,No,Yes,No,Yes
NODE_TECH_018,Experimental Fusion Injector,TECHNOLOGY,,1,1,1,If Owner pays 1 Material: Owner gains 2 Energy. If 2+ inputs connected: Owner gains 1 Energy.,Activator gains 1 Data. If Activator pays 1 Energy: Activator gains 2 VP.,No,No,No,Yes,Yes,No,Yes,No
REACTOR_BASE,Reactor Core,REACTOR,,0,0,0,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
